,id,term,vote
12,13,abidjan,4
136,137,agassi,4
473,474,ashcroft,4
536,537,august,4
545,546,australian,4
651,652,barent,4
763,764,bhuj,4
814,815,blanco,4
880,881,bond,4
1057,1058,businessman,4
1108,1109,cancer,4
1155,1156,carnahan,4
1381,1382,classic,4
1393,1394,clemenc,4
1409,1410,clinic,4
1470,1471,colina,4
1481,1482,collis,4
1524,1525,compart,4
1656,1657,convict,4
1828,1829,curfew,4
1915,1916,davenport,4
2006,2007,delhi,4
2237,2238,diver,4
2380,2381,earthquak,4
2405,2406,edmond,4
2406,2407,edmund,4
2433,2434,elbow,4
2573,2574,escap,4
2579,2580,espionag,4
2627,2628,ex-intellig,4
3068,3069,fujimori,4
3120,3121,garcia,4
3140,3141,gbagbo,4
3221,3222,gore,4
3233,3234,governor,4
3326,3327,guei,4
3339,3340,gujarat,4
3409,3410,hanoi,4
3571,3572,hingi,4
3836,3837,india,4
3889,3890,inmat,4
4021,4022,ivori,4
4022,4023,ivorian,4
4068,4069,jefferson,4
4149,4150,junk,4
4150,4151,junta,4
4162,4163,kafelnikov,4
4267,4268,kostunica,4
4268,4269,kournikova,4
4277,4278,kuerten,4
4281,4282,kursk,4
4456,4457,lieuten,4
4707,4708,marco,4
4760,4761,match,4
4791,4792,mcdougal,4
4864,4865,mexico,4
4918,4919,milken,4
4927,4928,milosev,4
5029,5030,montesino,4
5051,5052,moscow,4
5069,5070,mourner,4
5293,5294,norman,4
5303,5304,norwegian,4
5329,5330,nuclear,4
5480,5481,ouattara,4
5594,5595,paniagua,4
5611,5612,pardon,4
5686,5687,peltier,4
5734,5735,peru,4
5735,5736,peruvian,4
5889,5890,pope,4
6014,6015,prison,4
6134,6135,putin,4
6209,6210,rafter,4
6493,6494,resign,4
6597,6598,rippner,4
6728,6729,russian,4
6756,6757,safin,4
6780,6781,salvador,4
6781,6782,salvadoran,4
6787,6788,sampra,4
6805,6806,sank,4
6850,6851,schaffer,4
6890,6891,seamen,4
6930,6931,seed,4
6985,6986,serena,4
7134,7135,sifford,4
7419,7420,sprain,4
7634,7635,submarin,4
7682,7683,sunken,4
7883,7884,tenni,4
7912,7913,texa,4
8072,8073,torpedo,4
8086,8087,tournament,4
8184,8185,tudela,4
8232,8233,tyson,4
8505,8506,venu,4
8536,8537,vietnam,4
8537,8538,vietnames,4
8740,8741,whitewat,4
