id,Value
17,1
18,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
30,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
84,1
85,1
87,1
88,1
89,1
90,1
91,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
101,1
103,1
104,10
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
114,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,10
124,1
125,1
126,1
127,1
128,1
129,12
144,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,8
155,8
156,10
157,8
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,8
182,8
183,1
184,8
185,8
186,8
187,8
188,8
189,10
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,8
205,8
206,8
207,8
208,8
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,8
222,8
223,8
224,8
225,8
226,1
227,8
228,8
229,8
230,8
231,8
232,1
233,8
234,8
235,8
236,8
237,8
238,8
239,11
242,8
246,8
247,8
249,8
251,8
252,8
253,8
257,8
259,1
261,8
263,8
264,8
265,8
266,8
267,8
268,8
269,8
270,8
271,10
272,8
273,8
274,8
276,8
277,8
280,8
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,0
297,10
298,8
299,8
300,10
302,8
303,8
306,10
307,8
310,8
311,8
312,8
313,8
314,8
318,8
319,8
322,8
323,8
329,8
330,8
331,9
332,8
333,8
334,9
335,8
336,8
339,10
340,9
342,8
343,8
344,9
345,9
346,10
347,10
348,8
349,8
350,10
351,9
352,8
353,10
354,8
355,9
356,8
357,0
358,9
359,8
360,9
361,8
362,9
363,10
364,8
365,9
366,8
367,8
368,8
369,0
370,9
371,9
372,0
373,8
374,8
375,9
376,9
377,0
378,8
379,8
380,9
381,0
382,9
383,0
384,0
385,8
386,0
387,8
388,0
389,0
390,8
391,9
392,9
393,9
394,9
395,9
396,0
398,9
399,8
400,0
402,0
403,9
404,9
405,0
406,10
407,8
408,9
409,8
410,8
411,8
412,8
413,10
414,8
415,8
416,10
417,8
418,8
419,0
420,8
421,9
422,0
423,0
424,9
425,0
426,0
427,8
428,8
429,0
430,8
431,0
432,8
433,9
434,8
435,0
436,9
437,8
438,10
439,9
440,9
441,9
442,10
444,0
446,8
447,8
448,8
449,8
451,0
452,8
453,8
454,10
455,8
456,8
457,8
458,8
459,8
460,0
461,8
462,8
463,8
464,0
465,8
467,0
468,0
469,8
470,8
471,8
472,10
473,10
474,8
475,8
476,0
477,0
478,8
479,0
481,10
482,0
483,10
484,8
486,8
487,10
488,8
489,0
490,10
491,10
492,10
493,10
494,0
495,10
496,10
497,10
498,10
499,10
500,10
501,10
502,10
503,10
504,10
505,10
506,10
507,10
508,10
509,10
510,8
511,8
512,10
514,10
515,10
516,10
517,10
518,8
519,9
521,8
522,8
524,0
525,8
528,9
543,0
544,12
545,12
546,12
547,12
548,12
549,8
550,0
551,8
552,8
553,12
