,id,term,vote
12,13,abidjan,3
52,53,account,3
55,56,accus,3
67,68,act,3
70,71,activist,3
81,82,aden,3
130,131,african,3
134,135,aftershock,3
136,137,agassi,4
140,141,agent,3
148,149,agreement,3
157,158,aid,3
202,203,alassan,3
208,209,alberto,3
216,217,alert,3
275,276,america,3
280,281,amid,3
286,287,ammunit,3
310,311,andr,3
333,334,announc,3
396,397,april,3
405,406,arabian,3
422,423,area,3
437,438,arkansa,3
473,474,ashcroft,3
475,476,asia,3
476,477,asia-pacif,3
503,504,asylum,3
520,521,attack,3
545,546,australian,3
625,626,ballot,3
650,651,bare,3
651,652,barent,3
694,695,beat,3
721,722,belgrad,3
857,858,boat,3
860,861,bodi,3
871,872,bomb,3
881,882,bone,3
955,956,bribe,3
993,994,brunei,3
1010,1011,build,3
1040,1041,buri,3
1057,1058,businessman,3
1064,1065,buy,3
1101,1102,campaign,3
1108,1109,cancer,3
1109,1110,candid,3
1151,1152,carlo,3
1155,1156,carnahan,4
1218,1219,central,3
1230,1231,cessna,3
1245,1246,champion,3
1304,1305,chi,3
1308,1309,chief,3
1316,1317,china,3
1332,1333,chri,3
1337,1338,christma,3
1347,1348,church,3
1370,1371,civilian,3
1393,1394,clemenc,3
1410,1411,clinton,3
1438,1439,coast,3
1450,1451,cocoa,3
1456,1457,coffe,3
1467,1468,cole,3
1470,1471,colina,3
1472,1473,collaps,3
1517,1518,communist,3
1553,1554,conced,3
1585,1586,congress,3
1587,1588,congressman,3
1591,1592,connal,3
1620,1621,constitut,3
1656,1657,convict,3
1691,1692,corrupt,3
1715,1716,coup,3
1720,1721,court,3
1733,1734,cowardli,3
1748,1749,crash,3
1777,1778,crimin,3
1791,1792,cross,3
1872,1873,dakota,3
1875,1876,dalla,3
1880,1881,damag,3
1915,1916,davenport,3
1929,1930,dead,3
1939,1940,death,3
1940,1941,debat,3
1951,1952,decemb,3
1983,1984,defens,3
2024,2025,democrat,3
2040,2041,depart,3
2069,2070,despic,3
2074,2075,destroy,3
2116,2117,die,3
2124,2125,dig,3
2151,2152,dirt,3
2236,2237,dive,3
2237,2238,diver,3
2251,2252,dock,3
2309,2310,draman,3
2380,2381,earthquak,3
2387,2388,east,3
2396,2397,econom,3
2397,2398,economi,3
2406,2407,edmund,4
2437,2438,elect,3
2439,2440,electr,3
2550,2551,epicent,3
2573,2574,escap,3
2574,2575,escape,3
2579,2580,espionag,3
2605,2606,eve,3
2648,2649,exclud,3
2683,2684,explos,3
2685,2686,export,3
2770,2771,fbi,3
2780,2781,federico,3
2800,2801,ferrero,3
3022,3023,fraud,3
3067,3068,fugit,3
3068,3069,fujimori,4
3110,3111,game,3
